Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC)
01.01.2009 06:30:00,998,-8.91,264.4,-9.89
01.01.2009 06:40:00,998.14,-9.04,264.26,-10.11
01.01.2009 06:50:00,998.21,-9.43,263.86,-10.57
01.01.2009 07:00:00,998.33,-9.17,264.12,-10.1
01.01.2009 07:10:00,998.5,-8.71,264.56,-9.63
01.01.2009 07:20:00,998.59,-8.55,264.72,-9.47
01.01.2009 07:30:00,998.79,-8.4,264.85,-9.31
01.01.2009 07:40:00,998.86,-8.3,264.95,-9.21
01.01.2009 07:50:00,999.04,-8.13,265.1,-9.03
01.01.2009 08:00:00,999.17,-8.1,265.12,-9.05
01.01.2009 08:10:00,999.27,-8.14,265.08,-9.12
01.01.2009 08:20:00,999.33,-8.06,265.15,-9.02
01.01.2009 08:30:00,999.44,-7.95,265.25,-8.93
01.01.2009 08:40:00,999.46,-7.74,265.46,-8.67
01.01.2009 08:50:00,999.59,-7.57,265.62,-8.64
01.01.2009 09:00:00,999.69,-7.66,265.52,-8.84
01.01.2009 09:10:00,999.79,-7.71,265.47,-8.87
01.01.2009 09:20:00,999.81,-7.56,265.61,-8.67
01.01.2009 09:30:00,999.83,-7.29,265.88,-8.33
01.01.2009 09:40:00,999.96,-7.15,266.01,-8.21
01.01.2009 09:50:00,1000.13,-7.02,266.13,-8.06
01.01.2009 10:00:00,1000.27,-7.04,266.1,-8.17
01.01.2009 10:10:00,1000.43,-7.03,266.1,-8.16
01.01.2009 10:20:00,1000.54,-7.15,265.97,-8.34
01.01.2009 10:30:00,1000.68,-7.26,265.85,-8.47
01.01.2009 10:40:00,1000.78,-7.34,265.76,-8.57
01.01.2009 10:50:00,1000.83,-7.35,265.75,-8.57
01.01.2009 11:00:00,1000.87,-7.41,265.68,-8.66
01.01.2009 11:10:00,1000.81,-7.48,265.62,-8.76
01.01.2009 11:20:00,1000.74,-7.38,265.72,-8.64
01.01.2009 11:30:00,1000.61,-7.21,265.9,-8.53
01.01.2009 11:40:00,1000.5,-7.16,265.96,-8.54
01.01.2009 11:50:00,1000.36,-7.03,266.1,-8.44
01.01.2009 12:00:00,1000.3,-6.87,266.27,-8.28
01.01.2009 12:10:00,1000.21,-6.77,266.38,-8.19
01.01.2009 12:20:00,1000.18,-6.7,266.44,-8.09
01.01.2009 12:30:00,1000.14,-6.61,266.54,-8
01.01.2009 12:40:00,1000.02,-6.51,266.65,-7.93
01.01.2009 12:50:00,1000.02,-6.21,266.95,-7.65
01.01.2009 13:00:00,1000.03,-5.89,267.27,-7.46
01.01.2009 13:10:00,999.97,-5.83,267.33,-7.52
01.01.2009 13:20:00,999.97,-5.76,267.41,-7.46
01.01.2009 13:30:00,1000.02,-5.9,267.26,-7.62
01.01.2009 13:40:00,999.89,-5.97,267.2,-7.55
01.01.2009 13:50:00,999.81,-5.88,267.3,-7.44
01.01.2009 14:00:00,999.81,-5.94,267.24,-7.43
01.01.2009 14:10:00,999.81,-5.84,267.34,-7.26
01.01.2009 14:20:00,999.8,-5.76,267.41,-7.16
01.01.2009 14:30:00,999.81,-5.75,267.43,-7.14
01.01.2009 14:40:00,999.82,-5.76,267.41,-7.1
01.01.2009 14:50:00,999.83,-5.73,267.45,-7.05
01.01.2009 15:00:00,999.88,-5.69,267.48,-7
01.01.2009 15:10:00,999.98,-5.53,267.63,-6.87
01.01.2009 15:20:00,1000.06,-5.57,267.59,-6.97
01.01.2009 15:30:00,1000.04,-5.43,267.73,-6.8
01.01.2009 15:40:00,1000,-5.32,267.84,-6.76
01.01.2009 15:50:00,999.95,-5.36,267.81,-6.84
01.01.2009 16:00:00,999.94,-5.4,267.76,-6.86
01.01.2009 16:10:00,1000.05,-5.31,267.85,-6.69
01.01.2009 16:20:00,1000.05,-5.28,267.88,-6.68
01.01.2009 16:30:00,1000.1,-5.32,267.83,-6.77
01.01.2009 16:40:00,1000.17,-5.29,267.86,-6.7
01.01.2009 16:50:00,1000.13,-5.33,267.82,-6.81
01.01.2009 17:00:00,1000.17,-5.37,267.78,-6.82
01.01.2009 17:10:00,1000.17,-5.43,267.72,-6.9
01.01.2009 17:20:00,1000.18,-5.28,267.86,-6.68
01.01.2009 17:30:00,1000.18,-5.21,267.94,-6.7
01.01.2009 17:40:00,1000.17,-5.21,267.93,-6.75
01.01.2009 17:50:00,1000.16,-5.24,267.91,-6.77
01.01.2009 18:00:00,1000.16,-5.25,267.9,-6.75
01.01.2009 18:10:00,1000.13,-5.16,267.99,-6.67
01.01.2009 18:20:00,1000.07,-5.12,268.04,-6.62
01.01.2009 18:30:00,1000.11,-5.04,268.12,-6.57
01.01.2009 18:40:00,1000.18,-5.01,268.13,-6.58
01.01.2009 18:50:00,1000.23,-5.12,268.02,-6.68
01.01.2009 19:00:00,1000.22,-5.11,268.03,-6.57
01.01.2009 19:10:00,1000.3,-4.9,268.24,-6.36
01.01.2009 19:20:00,1000.19,-4.86,268.28,-6.4
01.01.2009 19:30:00,1000.18,-4.9,268.25,-6.46
01.01.2009 19:40:00,1000.14,-4.97,268.18,-6.53
01.01.2009 19:50:00,1000.18,-4.99,268.16,-6.51
01.01.2009 20:00:00,1000.22,-4.9,268.24,-6.38
01.01.2009 20:10:00,1000.27,-4.93,268.21,-6.38
01.01.2009 20:20:00,1000.21,-4.89,268.26,-6.29
01.01.2009 20:30:00,1000.19,-4.93,268.21,-6.32
01.01.2009 20:40:00,1000.24,-5,268.14,-6.34
01.01.2009 20:50:00,1000.3,-4.9,268.24,-6.19
01.01.2009 21:00:00,1000.19,-4.8,268.35,-6.14
01.01.2009 21:10:00,1000.19,-4.84,268.31,-6.21
01.01.2009 21:20:00,1000.15,-4.9,268.25,-6.25
01.01.2009 21:30:00,1000.09,-4.86,268.29,-6.18
01.01.2009 21:40:00,1000.06,-4.76,268.4,-6.06
01.01.2009 21:50:00,1000.03,-4.61,268.55,-5.9
01.01.2009 22:00:00,1000,-4.5,268.66,-5.82
01.01.2009 22:10:00,999.92,-4.41,268.76,-5.73
01.01.2009 22:20:00,999.93,-4.4,268.77,-5.77
01.01.2009 22:30:00,999.87,-4.32,268.85,-5.7
01.01.2009 22:40:00,999.8,-4.17,269,-5.6
01.01.2009 22:50:00,999.77,-4.3,268.88,-5.79
01.01.2009 23:00:00,999.77,-4.47,268.71,-5.84
01.01.2009 23:10:00,999.8,-4.5,268.68,-5.71
01.01.2009 23:20:00,999.81,-4.51,268.66,-5.65
01.01.2009 23:30:00,999.8,-4.33,268.84,-5.36
01.01.2009 23:40:00,999.71,-4.33,268.85,-5.43
01.01.2009 23:50:00,999.67,-4.58,268.61,-5.62
02.01.2009 00:00:00,999.59,-4.54,268.65,-5.46
02.01.2009 00:10:00,999.55,-4.6,268.6,-5.52
02.01.2009 00:20:00,999.56,-4.67,268.53,-5.52
02.01.2009 00:30:00,999.56,-4.66,268.53,-5.46
02.01.2009 00:40:00,999.48,-4.55,268.65,-5.31
02.01.2009 00:50:00,999.44,-4.43,268.77,-5.19
02.01.2009 01:00:00,999.34,-4.44,268.77,-5.19
02.01.2009 01:10:00,999.31,-4.39,268.82,-5.14
02.01.2009 01:20:00,999.21,-4.4,268.82,-5.16
02.01.2009 01:30:00,999.18,-4.4,268.82,-5.13
02.01.2009 01:40:00,999.08,-4.31,268.92,-5.03
02.01.2009 01:50:00,999,-4.26,268.98,-4.99
02.01.2009 02:00:00,998.93,-4.29,268.95,-5.04
02.01.2009 02:10:00,998.93,-4.26,268.99,-4.99
02.01.2009 02:20:00,998.82,-4.27,268.99,-5.02
02.01.2009 02:30:00,998.82,-4.3,268.95,-5.04
02.01.2009 02:40:00,998.78,-4.32,268.94,-5.05
02.01.2009 02:50:00,998.73,-4.39,268.87,-5.12
02.01.2009 03:00:00,998.69,-4.45,268.81,-5.15
02.01.2009 03:10:00,998.67,-4.5,268.76,-5.17
02.01.2009 03:20:00,998.58,-4.48,268.79,-5.12
02.01.2009 03:30:00,998.49,-4.43,268.84,-5.07
02.01.2009 03:40:00,998.44,-4.33,268.95,-4.94
02.01.2009 03:50:00,998.39,-4.41,268.87,-5.07
02.01.2009 04:00:00,998.32,-4.58,268.71,-5.22
02.01.2009 04:10:00,998.29,-4.63,268.66,-5.25
02.01.2009 04:20:00,998.12,-4.63,268.68,-5.23
02.01.2009 04:30:00,997.95,-4.74,268.58,-5.33
02.01.2009 04:40:00,998.03,-4.86,268.45,-5.44
02.01.2009 04:50:00,998.08,-4.97,268.34,-5.51
02.01.2009 05:00:00,998.1,-4.96,268.34,-5.5
02.01.2009 05:10:00,998.21,-4.94,268.36,-5.48
02.01.2009 05:20:00,998.21,-4.78,268.52,-5.27
02.01.2009 05:30:00,998.13,-4.63,268.68,-5.14
02.01.2009 05:40:00,998.02,-4.64,268.67,-5.19
02.01.2009 05:50:00,997.93,-4.67,268.65,-5.21
02.01.2009 06:00:00,998,-4.43,268.88,-4.94
02.01.2009 06:10:00,998.11,-4.38,268.93,-4.93
02.01.2009 06:20:00,998.15,-4.32,268.98,-4.87
02.01.2009 06:30:00,998.21,-4.25,269.05,-4.81
02.01.2009 06:40:00,998.22,-4.16,269.14,-4.75
02.01.2009 06:50:00,998.19,-4.26,269.04,-4.88
02.01.2009 07:00:00,998.17,-4.28,269.02,-4.89
02.01.2009 07:10:00,998.19,-4.34,268.96,-4.98
02.01.2009 07:20:00,998.2,-4.37,268.93,-5.01
02.01.2009 07:30:00,998.22,-4.33,268.97,-4.97
02.01.2009 07:40:00,998.17,-4.43,268.87,-5.09
02.01.2009 07:50:00,998.18,-4.39,268.91,-5.05
02.01.2009 08:00:00,998.18,-4.33,268.97,-5.04
02.01.2009 08:10:00,998.11,-4.37,268.94,-5.08
02.01.2009 08:20:00,998.1,-4.31,268.99,-5.03
02.01.2009 08:30:00,998.15,-4.3,269,-5.06
02.01.2009 08:40:00,998.29,-4.24,269.05,-5
02.01.2009 08:50:00,998.34,-4.17,269.12,-4.97
02.01.2009 09:00:00,998.35,-4.13,269.16,-4.97
02.01.2009 09:10:00,998.39,-4.07,269.22,-4.93
02.01.2009 09:20:00,998.46,-3.95,269.33,-4.87
02.01.2009 09:30:00,998.53,-3.9,269.38,-4.84
02.01.2009 09:40:00,998.59,-3.9,269.37,-4.9
02.01.2009 09:50:00,998.58,-3.92,269.35,-4.94
02.01.2009 10:00:00,998.65,-3.93,269.34,-4.99
02.01.2009 10:10:00,998.78,-3.97,269.29,-5
02.01.2009 10:20:00,998.83,-3.93,269.32,-4.93
02.01.2009 10:30:00,998.84,-3.9,269.35,-4.91
02.01.2009 10:40:00,998.87,-3.87,269.38,-4.88
02.01.2009 10:50:00,998.92,-3.74,269.51,-4.77
02.01.2009 11:00:00,998.98,-3.62,269.62,-4.68
02.01.2009 11:10:00,998.88,-3.49,269.76,-4.61
02.01.2009 11:20:00,998.79,-3.36,269.89,-4.51
02.01.2009 11:30:00,998.88,-3.21,270.04,-4.43
02.01.2009 11:40:00,998.88,-3.17,270.08,-4.45
02.01.2009 11:50:00,998.94,-3.02,270.22,-4.33
02.01.2009 12:00:00,998.91,-3.12,270.13,-4.5
02.01.2009 12:10:00,998.85,-3.07,270.18,-4.4
02.01.2009 12:20:00,998.82,-2.9,270.35,-4.33
02.01.2009 12:30:00,998.78,-2.81,270.45,-4.36
02.01.2009 12:40:00,998.64,-2.8,270.47,-4.39
02.01.2009 12:50:00,998.61,-2.64,270.63,-4.27
02.01.2009 13:00:00,998.59,-2.53,270.74,-4.23
02.01.2009 13:10:00,998.58,-2.54,270.73,-4.3
02.01.2009 13:20:00,998.62,-2.49,270.77,-4.23
02.01.2009 13:30:00,998.6,-2.26,271.01,-4.08
02.01.2009 13:40:00,998.67,-2.21,271.05,-4.13
02.01.2009 13:50:00,998.7,-2.41,270.85,-4.33
02.01.2009 14:00:00,998.73,-2.56,270.7,-4.29
02.01.2009 14:10:00,998.73,-2.62,270.63,-4.24
02.01.2009 14:20:00,998.75,-2.54,270.72,-4.09
02.01.2009 14:30:00,998.7,-2.14,271.12,-3.88
02.01.2009 14:40:00,998.75,-2.22,271.04,-4.08
02.01.2009 14:50:00,998.71,-2.18,271.08,-3.97
02.01.2009 15:00:00,998.87,-2.12,271.12,-4
02.01.2009 15:10:00,999.05,-2.31,270.92,-4.12
02.01.2009 15:20:00,999.14,-2.42,270.8,-4.05
02.01.2009 15:30:00,999.25,-2.47,270.75,-4.01
02.01.2009 15:40:00,999.32,-2.55,270.67,-4.04
02.01.2009 15:50:00,999.46,-2.65,270.56,-4.12
02.01.2009 16:00:00,999.59,-2.76,270.43,-4.22
02.01.2009 16:10:00,999.62,-2.81,270.38,-4.26
02.01.2009 16:20:00,999.8,-2.83,270.34,-4.32
02.01.2009 16:30:00,999.92,-2.84,270.33,-4.47
02.01.2009 16:40:00,1000.13,-2.83,270.32,-4.49
02.01.2009 16:50:00,1000.16,-2.84,270.31,-4.45
02.01.2009 17:00:00,1000.21,-2.88,270.26,-4.43
02.01.2009 17:10:00,1000.23,-2.96,270.18,-4.44
02.01.2009 17:20:00,1000.35,-2.96,270.17,-4.36
02.01.2009 17:30:00,1000.43,-2.97,270.16,-4.32
02.01.2009 17:40:00,1000.54,-3.03,270.09,-4.28
02.01.2009 17:50:00,1000.66,-3.05,270.06,-4.18
02.01.2009 18:00:00,1000.74,-3.07,270.03,-4.14
02.01.2009 18:10:00,1000.78,-3.16,269.94,-4.23
02.01.2009 18:20:00,1000.92,-3.2,269.89,-4.32
02.01.2009 18:30:00,1000.98,-3.23,269.85,-4.41
02.01.2009 18:40:00,1001.13,-3.29,269.78,-4.56
02.01.2009 18:50:00,1001.19,-3.3,269.77,-4.62
02.01.2009 19:00:00,1001.27,-3.34,269.72,-4.64
02.01.2009 19:10:00,1001.34,-3.36,269.69,-4.56
02.01.2009 19:20:00,1001.4,-3.36,269.69,-4.47
02.01.2009 19:30:00,1001.46,-3.36,269.68,-4.44
02.01.2009 19:40:00,1001.57,-3.36,269.68,-4.4
02.01.2009 19:50:00,1001.71,-3.31,269.72,-4.3
02.01.2009 20:00:00,1001.83,-3.3,269.72,-4.29
02.01.2009 20:10:00,1001.9,-3.28,269.74,-4.3
02.01.2009 20:20:00,1002.01,-3.36,269.65,-4.41
02.01.2009 20:30:00,1002.03,-3.36,269.64,-4.41
02.01.2009 20:40:00,1002.13,-3.36,269.64,-4.44
02.01.2009 20:50:00,1002.15,-3.43,269.56,-4.51
02.01.2009 21:00:00,1002.23,-3.49,269.5,-4.61
02.01.2009 21:10:00,1002.32,-3.5,269.48,-4.64
02.01.2009 21:20:00,1002.36,-3.52,269.46,-4.72
02.01.2009 21:30:00,1002.37,-3.66,269.32,-4.99
02.01.2009 21:40:00,1002.35,-3.8,269.18,-5.22
02.01.2009 21:50:00,1002.39,-3.94,269.04,-5.43
02.01.2009 22:00:00,1002.39,-4.02,268.96,-5.58
02.01.2009 22:10:00,1002.39,-4.06,268.91,-5.68
02.01.2009 22:20:00,1002.44,-4.2,268.77,-5.78
02.01.2009 22:30:00,1002.54,-4.34,268.63,-5.88
02.01.2009 22:40:00,1002.52,-4.3,268.66,-5.8
02.01.2009 22:50:00,1002.57,-4.35,268.61,-5.79
02.01.2009 23:00:00,1002.52,-4.38,268.59,-5.8
02.01.2009 23:10:00,1002.64,-4.45,268.51,-5.89
02.01.2009 23:20:00,1002.65,-4.53,268.43,-5.95
02.01.2009 23:30:00,1002.64,-4.57,268.39,-5.97
02.01.2009 23:40:00,1002.53,-4.56,268.41,-5.97
02.01.2009 23:50:00,1002.35,-4.59,268.39,-6.03
03.01.2009 00:00:00,1002.32,-4.71,268.27,-6.09
03.01.2009 00:10:00,1002.39,-4.89,268.09,-6.16
03.01.2009 00:20:00,1002.39,-5.2,267.78,-6.49
03.01.2009 00:30:00,1002.49,-5.48,267.49,-6.7
03.01.2009 00:40:00,1002.42,-5.5,267.48,-6.61
03.01.2009 00:50:00,1002.39,-5.43,267.55,-6.49
03.01.2009 01:00:00,1002.39,-5.28,267.7,-6.35
03.01.2009 01:10:00,1002.39,-5.39,267.58,-6.62
03.01.2009 01:20:00,1002.31,-5.66,267.32,-6.93
03.01.2009 01:30:00,1002.34,-5.7,267.28,-6.9
03.01.2009 01:40:00,1002.36,-5.89,267.09,-7.04
03.01.2009 01:50:00,1002.27,-6.08,266.9,-7.18
03.01.2009 02:00:00,1002.27,-6.23,266.76,-7.26
03.01.2009 02:10:00,1002.28,-6.38,266.6,-7.42
03.01.2009 02:20:00,1002.29,-6.55,266.44,-7.52
03.01.2009 02:30:00,1002.37,-6.41,266.57,-7.31
03.01.2009 02:40:00,1002.27,-6.12,266.87,-7
03.01.2009 02:50:00,1002.2,-6.01,266.98,-6.99
03.01.2009 03:00:00,1002.15,-6.13,266.87,-7.22
03.01.2009 03:10:00,1002.14,-6.36,266.63,-7.44
03.01.2009 03:20:00,1002.14,-6.48,266.52,-7.51
03.01.2009 03:30:00,1002.06,-6.46,266.54,-7.44
03.01.2009 03:40:00,1002.03,-6.33,266.68,-7.32
03.01.2009 03:50:00,1002.01,-6.39,266.62,-7.42
03.01.2009 04:00:00,1002.02,-6.21,266.79,-7.32
03.01.2009 04:10:00,1001.99,-6.17,266.84,-7.4
03.01.2009 04:20:00,1001.97,-6.25,266.76,-7.47
03.01.2009 04:30:00,1001.93,-6.3,266.72,-7.47
03.01.2009 04:40:00,1001.9,-6.49,266.53,-7.65
03.01.2009 04:50:00,1001.79,-6.64,266.38,-7.79
03.01.2009 05:00:00,1001.65,-7.02,266.01,-8.1
03.01.2009 05:10:00,1001.52,-7.19,265.85,-8.2
03.01.2009 05:20:00,1001.4,-7.35,265.7,-8.36
03.01.2009 05:30:00,1001.29,-7.54,265.52,-8.5
03.01.2009 05:40:00,1001.29,-7.8,265.26,-8.71
03.01.2009 05:50:00,1001.31,-7.96,265.1,-8.8
03.01.2009 06:00:00,1001.29,-8.2,264.86,-9.05
03.01.2009 06:10:00,1001.2,-8.14,264.93,-8.94
03.01.2009 06:20:00,1001.15,-7.92,265.15,-8.91
03.01.2009 06:30:00,1001.13,-7.89,265.18,-9.13
03.01.2009 06:40:00,1001.12,-7.97,265.11,-9.32
03.01.2009 06:50:00,1001.07,-8.1,264.98,-9.48
03.01.2009 07:00:00,1001.17,-8.48,264.59,-9.91
03.01.2009 07:10:00,1001.22,-8.63,264.44,-9.88
03.01.2009 07:20:00,1001.16,-8.61,264.46,-9.73
03.01.2009 07:30:00,1001.16,-8.61,264.46,-9.73
03.01.2009 07:40:00,1001.11,-8.85,264.23,-10.04
03.01.2009 07:50:00,1001.03,-9.18,263.9,-10.41
03.01.2009 08:00:00,1001.04,-9.28,263.8,-10.44
03.01.2009 08:10:00,1000.99,-9.45,263.64,-10.62
03.01.2009 08:20:00,1000.95,-9.81,263.28,-10.99
03.01.2009 08:30:00,1000.91,-9.85,263.24,-10.95
03.01.2009 08:40:00,1000.92,-9.71,263.38,-10.77
03.01.2009 08:50:00,1000.92,-9.4,263.69,-10.45
03.01.2009 09:00:00,1000.92,-9.46,263.63,-10.69
03.01.2009 09:10:00,1000.92,-10,263.09,-11.36
03.01.2009 09:20:00,1000.93,-9.93,263.16,-11.18
03.01.2009 09:30:00,1000.85,-9.3,263.8,-10.55
03.01.2009 09:40:00,1000.8,-8.83,264.27,-10.47
03.01.2009 09:50:00,1000.71,-8.48,264.63,-10.56
03.01.2009 10:00:00,1000.67,-8.53,264.58,-10.83
03.01.2009 10:10:00,1000.64,-8.56,264.55,-10.68
03.01.2009 10:20:00,1000.51,-8.47,264.65,-10.48
03.01.2009 10:30:00,1000.37,-8.51,264.62,-10.53
03.01.2009 10:40:00,1000.28,-8.41,264.73,-10.26
03.01.2009 10:50:00,1000.15,-8.16,264.99,-10.01
03.01.2009 11:00:00,1000.04,-7.87,265.29,-9.84
03.01.2009 11:10:00,999.88,-7.52,265.65,-9.63
03.01.2009 11:20:00,999.7,-7.29,265.89,-9.56
03.01.2009 11:30:00,999.56,-6.89,266.31,-9.24
03.01.2009 11:40:00,999.41,-6.56,266.65,-9.1
03.01.2009 11:50:00,999.26,-6.32,266.9,-8.91
03.01.2009 12:00:00,999.02,-5.96,267.28,-8.72
03.01.2009 12:10:00,998.83,-5.78,267.47,-8.58
03.01.2009 12:20:00,998.78,-5.15,268.1,-8.14
03.01.2009 12:30:00,998.69,-4.34,268.92,-7.81
03.01.2009 12:40:00,998.6,-3.77,269.5,-7.63
03.01.2009 12:50:00,998.47,-3.27,270.01,-7.57
03.01.2009 13:00:00,998.3,-2.82,270.47,-7.4
03.01.2009 13:10:00,998.17,-2.23,271.07,-7.31
03.01.2009 13:20:00,998,-2.37,270.95,-7.58
03.01.2009 13:30:00,997.84,-2.11,271.22,-7.47
03.01.2009 13:40:00,997.74,-1.66,271.68,-7.44
03.01.2009 13:50:00,997.65,-1.43,271.91,-7.34
03.01.2009 14:00:00,997.53,-2.15,271.2,-7.68
03.01.2009 14:10:00,997.31,-2.74,270.63,-7.97
03.01.2009 14:20:00,997.23,-2.29,271.09,-7.88
03.01.2009 14:30:00,997.13,-1.66,271.72,-9.39
03.01.2009 14:40:00,997.09,-1.52,271.87,-9.3
03.01.2009 14:50:00,997.02,-0.9,272.49,-9.39
03.01.2009 15:00:00,996.91,-0.82,272.59,-9.82
03.01.2009 15:10:00,996.85,-1.37,272.04,-10.43
03.01.2009 15:20:00,996.73,-1.91,271.5,-10.73
03.01.2009 15:30:00,996.58,-2.28,271.14,-10.63
03.01.2009 15:40:00,996.39,-2.24,271.2,-10.85
03.01.2009 15:50:00,996.35,-2.32,271.12,-11.51
03.01.2009 16:00:00,996.25,-2.8,270.65,-12.13
03.01.2009 16:10:00,996.12,-3.64,269.82,-12.35
03.01.2009 16:20:00,996.04,-3.98,269.49,-12.62
03.01.2009 16:30:00,995.92,-4.18,269.3,-12.72
03.01.2009 16:40:00,995.87,-4.35,269.13,-12.77
03.01.2009 16:50:00,995.85,-4.52,268.96,-12.72
03.01.2009 17:00:00,995.76,-4.69,268.8,-12.56
03.01.2009 17:10:00,995.7,-4.63,268.86,-12.38
03.01.2009 17:20:00,995.62,-4.6,268.9,-12.2
03.01.2009 17:30:00,995.6,-4.31,269.19,-11.92
03.01.2009 17:40:00,995.59,-4.18,269.32,-11.7
03.01.2009 17:50:00,995.51,-4.16,269.34,-11.57
03.01.2009 18:00:00,995.48,-4.08,269.43,-11.44
03.01.2009 18:10:00,995.47,-3.98,269.53,-11.35
03.01.2009 18:20:00,995.42,-3.91,269.6,-11.23
03.01.2009 18:30:00,995.41,-3.9,269.62,-11.06
03.01.2009 18:40:00,995.34,-3.9,269.62,-10.89
03.01.2009 18:50:00,995.37,-3.87,269.65,-10.69
03.01.2009 19:00:00,995.44,-3.78,269.73,-10.5
03.01.2009 19:10:00,995.28,-3.77,269.75,-10.47
03.01.2009 19:20:00,995.26,-3.95,269.58,-10.37
03.01.2009 19:30:00,995.19,-3.9,269.63,-10.02
03.01.2009 19:40:00,995.15,-3.75,269.79,-9.72
03.01.2009 19:50:00,995.07,-3.81,269.74,-9.58
03.01.2009 20:00:00,994.94,-3.84,269.72,-9.56
03.01.2009 20:10:00,994.76,-3.88,269.69,-9.47
03.01.2009 20:20:00,994.65,-3.67,269.9,-9
03.01.2009 20:30:00,994.64,-3.3,270.27,-8.75
03.01.2009 20:40:00,994.57,-3.34,270.24,-8.67
03.01.2009 20:50:00,994.45,-3.24,270.35,-8.58
03.01.2009 21:00:00,994.3,-3.15,270.45,-8.48
03.01.2009 21:10:00,994.23,-3.07,270.54,-8.36
03.01.2009 21:20:00,994.2,-2.93,270.68,-8.24
03.01.2009 21:30:00,994.04,-2.78,270.84,-8.14
03.01.2009 21:40:00,994.08,-2.76,270.86,-8.08
03.01.2009 21:50:00,994.06,-2.76,270.86,-7.99
03.01.2009 22:00:00,994.06,-2.76,270.86,-7.88
03.01.2009 22:10:00,994.01,-2.71,270.92,-7.74
03.01.2009 22:20:00,993.77,-2.67,270.98,-7.61
03.01.2009 22:30:00,993.61,-2.69,270.97,-7.53
03.01.2009 22:40:00,993.54,-2.7,270.97,-7.4
03.01.2009 22:50:00,993.43,-2.64,271.04,-7.15
03.01.2009 23:00:00,993.28,-2.58,271.1,-7.05
03.01.2009 23:10:00,993.14,-2.46,271.23,-6.93
03.01.2009 23:20:00,993.13,-2.33,271.37,-6.79
03.01.2009 23:30:00,993.14,-2.12,271.58,-6.59
03.01.2009 23:40:00,993.13,-1.97,271.73,-6.49
03.01.2009 23:50:00,993.05,-1.9,271.8,-6.46
04.01.2009 00:00:00,992.93,-1.9,271.81,-6.39
04.01.2009 00:10:00,992.79,-1.83,271.89,-6.29
04.01.2009 00:20:00,992.67,-1.7,272.03,-6.09
04.01.2009 00:30:00,992.57,-1.6,272.14,-5.92
04.01.2009 00:40:00,992.54,-1.55,272.19,-5.72
04.01.2009 00:50:00,992.41,-1.46,272.29,-5.61
04.01.2009 01:00:00,992.19,-1.42,272.35,-5.61
04.01.2009 01:10:00,992.09,-1.49,272.28,-5.25
04.01.2009 01:20:00,991.98,-2.01,271.77,-4.42
04.01.2009 01:30:00,991.97,-2.32,271.47,-4.08
04.01.2009 01:40:00,991.85,-2.37,271.42,-3.88
04.01.2009 01:50:00,991.84,-2.32,271.48,-3.72
04.01.2009 02:00:00,991.76,-2.22,271.58,-3.61
04.01.2009 02:10:00,991.73,-2.09,271.72,-3.53
